team_city,team_name,Team,logo_url,park_name,h_wins2017,h_loss2017,r_wins2017,r_loss2017,h_wins2018,h_loss2018,r_wins2018,r_loss2018,h_wins2019,h_loss2019,r_wins2019,r_loss2019
Arizona,Diamondbacks,ARI,https://en.wikipedia.org/wiki/Arizona_Diamondbacks#/media/File:Arizona_Diamondbacks_logo_(low_res).svg,Chase Field,52,29,41,40,40,41,42,39,44,37,41,40
Atlanta,Braves,ATL,https://en.wikipedia.org/wiki/Atlanta_Braves#/media/File:Atlanta_Braves.svg,SunTrust Park,37,44,35,46,43,38,47,34,50,31,47,34
Baltimore,Orioles,BAL,https://en.wikipedia.org/wiki/Baltimore_Orioles#/media/File:Baltimore_Orioles_cap.svg,Camden Yards,46,35,29,52,28,53,19,62,25,56,29,62
Boston,Red Sox,BOS,https://en.wikipedia.org/wiki/Boston_Red_Sox#/media/File:RedSoxPrimary_HangingSocks.svg,Fenway Park,48,33,45,36,57,24,51,30,38,43,46,33
Chicago,Cubs,CHC,https://en.wikipedia.org/wiki/Chicago_Cubs#/media/File:Chicago_Cubs_logo.svg,Wrigley Field,48,33,44,37,51,31,44,37,51,30,32,48
Chicago,White Sox,CWS,https://en.wikipedia.org/wiki/Chicago_White_Sox#/media/File:Chicago_White_Sox.svg,Guaranteed Rate Field,39,42,28,53,30,51,32,49,39,41,33,48
Cinncinatti,Reds,CIN,https://en.wikipedia.org/wiki/Cincinnati_Reds#/media/File:Cincinnati_Reds_Logo.svg,Great American Ballpark,39,42,29,52,37,44,30,51,48,31,34,47
Cleveland,Indinans,CLE,https://en.wikipedia.org/wiki/Cleveland_Indians#/media/File:Cleveland_Indians_primary_logo.svg,Progressive Field,49,32,53,28,49,32,41,38,49,32,44,37
Colorado,Rockies,COL,https://en.wikipedia.org/wiki/Colorado_Rockies#/media/File:Colorado_Rockies_logo.svg,Coors Field,46,35,41,40,47,34,44,38,43,38,28,53
Detroit,Tigers,DET,https://en.wikipedia.org/wiki/Detroit_Tigers#/media/File:Detroit_Tigers_logo.svg,Comerica Park,34,47,30,51,38,43,26,55,22,59,25,54
Houston,Astros,HOU,https://en.wikipedia.org/wiki/Houston_Astros#/media/File:Houston-Astros-Logo.svg,Minute Maid Park,47,31,53,28,46,35,57,24,60,21,45,34
Kansas City,Roylas,KC,https://en.wikipedia.org/wiki/Kansas_City_Royals#/media/File:Kansas_City_Royals.svg,Kauffman Stadium,43,38,37,44,32,49,26,55,30,50,28,53
Los Angeles,Angles,LAA,https://en.wikipedia.org/wiki/Los_Angeles_Angels#/media/File:Los_Angeles_Angels_of_Anaheim.svg,Angel Stadium of Anaheim,43,38,37,44,42,39,38,43,38,41,34,47
Los Angeles,Dodgers,LAD,https://en.wikipedia.org/wiki/Los_Angeles_Dodgers#/media/File:Los_Angeles_Dodgers_logo_(low_res).svg,Dodger Stadium,57,24,47,34,45,37,45,33,59,22,47,34
Miami,Marlins,MIA,https://en.wikipedia.org/wiki/Miami_Marlins#/media/File:Marlins_team_logo.svg,Marlins Park,42,36,35,49,38,43,25,55,30,51,27,54
Milwuakee,Brewers,MIL,https://en.wikipedia.org/wiki/Milwaukee_Brewers#/media/File:Milwaukee_Brewers_logo.svg,Miller Park,46,38,40,38,51,30,45,37,49,32,40,41
Minnesota,Twins,MIN,https://en.wikipedia.org/wiki/Minnesota_Twins#/media/File:Minnesota_Twins_logo_(low_res).svg,Target Field,41,40,44,37,48,31,29,52,46,35,55,26
New York,Mets,NYM,https://en.wikipedia.org/wiki/New_York_Mets#/media/File:New_York_Mets.svg,Citi Field,37,44,33,48,37,44,39,41,48,33,38,43
New York,Yankees,NYY,https://en.wikipedia.org/wiki/New_York_Yankees#/media/File:NewYorkYankees_PrimaryLogo.svg,Yankee Stadium,51,30,38,40,53,28,47,34,55,24,46,35
Oakland,Athletics,OAK,https://upload.wikimedia.org/wikipedia/commons/a/a4/Oakland_A%27s_logo.svg,RingCentral Coliseum,46,35,29,52,50,31,47,34,52,29,45,36
Philadelphia,Phillies,PHI,https://en.wikipedia.org/wiki/Philadelphia_Phillies#/media/File:Philadelphia_Phillies_(2019)_logo.svg,Citizens Bank Park,39,42,27,54,49,31,31,50,45,36,36,45
Pitssburgh,Pirates,PIT,https://en.wikipedia.org/wiki/Pittsburgh_Pirates#/media/File:Pittsburgh_Pirates_logo_2014.svg,PNC Park,43,37,31,50,44,36,38,43,35,45,34,47
San Diego,Padres,SD,https://en.wikipedia.org/wiki/San_Diego_Padres#/media/File:SD_Logo_Brown.svg,Pecto Park,43,38,28,53,30,48,35,46,36,45,34,47
Seattle,Mariners,SEA,https://en.wikipedia.org/wiki/Seattle_Mariners#/media/File:Seattle_Mariners_logo_(low_res).svg,T-Mobile Park,40,41,38,43,45,36,44,37,35,46,33,48
San Franciso,Giants,SF,https://en.wikipedia.org/wiki/San_Francisco_Giants#/media/File:San_Francisco_Giants_Logo.svg,Oracle Park,38,43,26,55,42,39,31,50,35,46,42,39
St. Louis,Cardinals,STL,https://en.wikipedia.org/wiki/St._Louis_Cardinals#/media/File:St._Louis_Cardinals_logo.svg,Busch Stadium,44,37,39,41,43,38,45,36,50,31,40,39
Tampa Bay,Rays,TB,https://en.wikipedia.org/wiki/Tampa_Bay_Rays#/media/File:Tampa_Bay_Rays.svg,Tropicana Field,41,37,38,43,51,30,39,42,48,33,48,33
Texas,Rangers,TEX,https://en.wikipedia.org/wiki/Texas_Rangers_(baseball)#/media/File:Texas_Rangers.svg,Globe Life Park,41,40,35,43,34,47,33,48,45,36,33,48
Toronto,Blue Jays,TOR,file:///Users/neal/Downloads/toronto-blue-jays-logo/toronto-blue-jays-logo.svg,Rogers Centre,42,39,34,47,40,41,33,48,35,46,32,49
Washington,Nationals,WSH,https://en.wikipedia.org/wiki/Washington_Nationals#/media/File:Washington_Nationals_logo_(low_res).svg,Nationals Park,47,34,50,31,41,40,41,40,50,31,43,38
